angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,Bmag,Vmag,SpType,ASCC,Seq,Pkin,Pph,Psp
0.211595,307.5088890451602,41.6895821023426,0.001,0.001,0,2068050121944547968,307.50837612406,0.0228,41.68905595058,0.0257,9.6226,0.029,-88.961,0.049,-122.203,0.051,0,793494.0,360.465,10.939507,383637.0,368.413,11.391588,579761.0,509.601,10.353798,1.03779,4.12,0.5,7,5248.75,0.008,0.005,0.72,0.357,307.508828,41.689545,307.50911696,41.68984943,11.713,11.003,,434466,490,0.0,0.0,0
0.091213,307.5263359473097,41.975219176218,0.001,0.001,0,2068062869407813376,307.5263355967,0.0223,41.97520458418,0.0253,0.7959,0.0294,-0.061,0.045,-3.389,0.049,0,571679.0,836.518,11.295486,350555.0,1314.36,11.489499,332147.0,1078.18,10.958595,0.530904,,,0,7502.0,,,3.53,35.613,307.526304,41.975228,307.52630115,41.97523566,11.621,11.47,,434475,490,0.0,0.0,0
0.265972,307.533522102194,41.9082511032279,0.001,0.001,90,2068059669653845888,307.53354705169,0.0235,41.90825218174,0.0255,2.5033,0.0303,4.313,0.048,0.25,0.047,0,266219.0,83.3306,12.125269,150121.0,194.039,12.410288,169149.0,148.178,11.691244,0.719044,-5.0,1.3,7,7033.04,0.0667,0.0343,0.87,1.65,307.533618,41.908232,307.53359168,41.9082325,12.616,11.762,,434479,490,0.0,0.0,0
0.065421,307.5388974264001,41.1960522557525,0.001,0.001,0,2067816784962054912,307.53898663354,0.0186,41.19612228342,0.0258,3.5461,0.026,15.59,0.038,16.264,0.049,0,237723.0,33.0477,12.248187,128379.0,163.928,12.58015,158340.0,160.337,11.762944,0.817205,-1.8,1.01,10,5839.67,0.0397,0.017,0.84,0.744,307.538905,41.196035,307.538859,41.196002,,12.368,,434486,490,0.0,0.0,1
0.054578,307.5527711196814,41.7025088536952,0.001,0.001,0,2068039814023032704,307.55276555478,0.0221,41.70245455119,0.0269,1.9606,0.0297,-0.965,0.046,-12.612,0.052,0,585405.0,233.866,11.269725,352684.0,342.325,11.482923,341002.0,274.789,10.930028,0.552895,-28.09,2.95,7,6847.64,1.095,0.5278,1.73,5.899,307.552772,41.702524,307.55277137,41.70255428,11.813,11.52,,434492,490,0.0,0.0,0
0.039948,307.5538897382487,41.630662256339,0.001,0.001,90,2068037168323170944,307.55387884908,0.0256,41.63064367099,0.0271,0.901,0.0308,-1.89,0.056,-4.317,0.055,0,500484.0,321.144,11.439891,312499.0,427.039,11.614266,282020.0,274.199,11.136219,0.478047,,,0,7677.0,,,2.8,24.584,307.553902,41.630656,307.55390734,41.6306728,11.848,11.433,,434493,490,0.0,0.0,0
0.030645,307.5663442232707,41.355859953188,0.001,0.001,0,2068007825106276736,307.56665528028,0.0202,41.35563606414,0.0246,5.2599,0.0264,54.229,0.043,-52.0,0.047,0,681780.0,262.135,11.104255,365353.0,401.54,11.444607,452452.0,354.57,10.62299,0.821617,-22.88,0.62,13,5695.92,0.0278,0.0157,1.02,0.978,307.566335,41.355855,307.56616261,41.35598644,11.727,11.158,,434503,490,0.0,0.001,1
0.074312,307.5673479366196,41.4283414448241,0.001,0.001,0,2068008611082149632,307.56734876501,0.0202,41.42831834157,0.0248,0.9718,0.0264,0.144,0.041,-5.366,0.045,1,235286.0,34.6728,12.259378,135278.0,186.115,12.523323,147933.0,183.813,11.836756,0.686567,,,0,6618.0,,,2.36,9.636,307.56736,41.42836,307.56735561,41.4283709,12.896,12.225,,434504,490,0.683,0.4753,1
0.027863,307.5700106871298,41.2951478401117,0.001,0.001,0,2067819735600376960,307.57004883435,0.0216,41.29517157097,0.0255,1.5724,0.0263,6.657,0.046,5.512,0.048,1,2543940.0,691.823,9.6746,1572040.0,2309.34,9.860229,1394160.0,2557.75,9.401135,0.459094,,,0,7109.62,,,4.17,40.034,307.570002,41.295152,307.56998523,41.29513676,10.103,9.749,,434509,490,0.0,0.0,1
0.021253,307.596925234053,40.6647396306451,0.001,0.001,0,2067785826838212736,307.59696458913,0.0397,40.6647491768,0.0436,3.0462,0.0491,6.933,0.085,2.217,0.086,1,12112500.0,5628.15,7.980286,9023310.0,21634.7,7.962973,4847700.0,10781.9,8.048081,-0.085108,,,0,8598.67,0.1965,0.1165,,,307.59692,40.664744,307.59690761,40.66473469,7.934,7.984,B 9.5IV,434525,490,0.0,0.0,0
0.318261,307.6010379962505,41.8562280237347,0.001,0.001,0,2068058540080764288,307.60111073139,0.0222,41.85622810122,0.0265,2.0787,0.0291,12.583,0.047,0.018,0.051,0,308177.0,48.5346,11.966366,165313.0,226.242,12.305618,204800.0,116.812,11.483596,0.822022,2.51,1.25,8,5786.33,,,1.67,2.815,307.600971,41.856301,307.60094838,41.85629784,12.403,11.827,,434528,490,0.0,0.0,0
0.031639,307.6030829576171,40.6698410871897,0.001,0.001,0,2067785861197360128,307.60311806894,0.0209,40.66984993822,0.0251,2.8681,0.0274,6.185,0.044,2.056,0.047,0,970318.0,472.854,10.72108,593169.0,661.032,10.918443,547774.0,328.636,10.415417,0.503026,-9.8,2.16,4,6935.59,0.2697,0.125,1.48,4.574,307.603088,40.669849,307.60306602,40.66984429,10.933,10.561,,434529,490,0.0,0.0,0
0.133349,307.6199727754475,41.3905958583786,0.001,0.001,0,2067820701972258304,307.619925211,0.0194,41.39058511243,0.0244,1.4715,0.0263,-8.288,0.042,-2.496,0.045,0,156180.0,24.0647,12.704299,85284.9,80.6064,13.024208,102843.0,77.354,12.231481,0.792728,-8.18,1.88,10,5948.0,,,1.58,2.823,307.619926,41.390584,307.61997836,41.39059215,13.137,12.501,,434540,490,0.0042,0.477,1
0.085348,307.6650672510067,40.8913812842319,0.001,0.001,0,2067792733145081088,307.66509871547,0.0267,40.89137258426,0.0304,1.2697,0.0324,5.524,0.056,-2.021,0.061,0,769444.0,300.5,10.972922,515701.0,683.606,11.070394,381471.0,396.618,10.808268,0.262126,,,0,8264.0,0.5667,0.2815,,,307.665048,40.8914,307.66503019,40.89140189,11.141,10.985,,434567,490,0.0,0.0,0
0.044479,307.665416358748,41.1468857313167,0.001,0.001,0,2067813005390784896,307.66539966617,0.0293,41.14686966082,0.0368,0.7494,0.0397,-2.919,0.063,-3.733,0.08,0,1734540.0,2695.39,10.090404,336886.0,1341.98,11.532681,2128450.0,8134.49,8.941764,2.590917,,,0,3572.05,1.58,0.7867,43.18,273.471,307.665432,41.146882,307.6654425,41.14689145,12.435,11.161,,434568,490,0.9105,0.6642,1
0.031412,307.6722451766466,41.0787633846401,0.001,0.001,0,2067812520055286272,307.67231244003,0.0204,41.07871889289,0.0232,1.7563,0.0256,11.776,0.043,-10.334,0.046,0,433879.0,85.8768,11.594944,246267.0,235.894,11.872875,274814.0,180.618,11.164325,0.70855,-10.77,0.61,5,6447.0,,,1.87,5.443,307.672255,41.078768,307.67222399,41.07879235,12.268,11.604,,434570,490,0.0007,0.2075,1
0.016414,307.6825999244662,41.7213405263515,0.001,0.001,0,2068039225609032320,307.68230204439,0.0224,41.72096071411,0.0286,9.0351,0.0308,-51.639,0.047,-88.215,0.055,0,2997360.0,911.772,9.49652,1605240.0,1762.09,9.837537,1969580.0,2280.24,9.025984,0.811553,-9.82,0.88,5,5792.0,0.226,0.116,1.2,1.449,307.682606,41.721341,307.68277443,41.72155746,10.259,9.639,G5,434577,490,0.0,0.0,0
0.077251,307.6857165562769,40.7761913710749,0.001,0.001,0,2067788128940097536,307.68576176745,0.0224,40.77607600434,0.0254,2.661,0.0275,7.952,0.048,-26.795,0.05,0,613261.0,339.727,11.219252,321518.0,232.623,11.583374,415511.0,259.485,10.715464,0.86791,-27.94,0.74,4,5573.0,,,2.0,3.473,307.685714,40.77617,307.68569266,40.77623602,11.969,11.33,,434579,490,0.0,0.0,0
0.04233,307.68879681863,40.8323025129746,0.001,0.001,0,2067789086713729152,307.68886124173,0.0211,40.83247170682,0.0265,7.6351,0.0286,11.321,0.045,39.297,0.054,0,1547450.0,624.909,10.214323,838755.0,790.708,10.542301,1005960.0,1003.93,9.755471,0.78683,-23.68,0.29,5,6056.0,0.0685,0.039,0.92,1.035,307.688812,40.8323,307.68877625,40.83220553,11.005,10.356,,434580,490,0.0,0.0,0
0.134598,307.6921483148049,41.2924537881641,0.005,0.004,0,2067816269565958272,307.69219194237,0.1266,41.29244852378,0.1531,1.5413,0.1619,7.613,0.278,-1.223,0.303,0,410251.0,110.379,11.655743,249621.0,229.888,11.858184,236718.0,202.27,11.326344,0.53184,,,0,7009.0,,,1.76,6.705,307.692119,41.292484,307.69209985,41.29247799,12.414,11.858,,434582,490,0.0045,0.1377,1
0.041735,307.7082174932604,40.7384724622931,0.001,0.001,90,2067787746683936640,307.70822183999,0.0255,40.73846109558,0.0284,0.6532,0.033,0.765,0.055,-2.64,0.053,0,2048440.0,919.008,9.909806,1094800.0,1762.95,10.253053,1366000.0,1996.28,9.423296,0.829757,,,0,5684.88,,,14.24,190.775,307.708216,40.738484,307.70821291,40.73849131,10.662,10.061,,434586,490,0.0,0.0,0
0.014274,307.7170822140088,41.3289344004277,0.002,0.001,0,2067842760924242048,307.71709976366,0.0393,41.32893461977,0.0543,1.8035,0.0483,3.061,0.084,0.051,0.102,1,5914450.0,1942.46,8.75858,4369380.0,5785.08,8.750338,2434770.0,4524.1,8.795774,-0.045436,,,0,9367.75,0.2377,0.1413,,,307.71708,41.328938,307.71707192,41.3289325,8.72,8.742,A0,434590,490,0.0004,0.0,1
0.071764,307.7213656822042,41.6094110942533,0.001,0.001,0,2068034934940154496,307.72138439099,0.0285,41.60940236031,0.0329,2.0901,0.0352,3.249,0.06,-2.029,0.062,0,966296.0,315.373,10.72559,643469.0,622.929,10.83007,481395.0,189.757,10.555666,0.274404,,,0,8185.0,,,,,307.721388,41.609422,307.72137493,41.60942516,10.981,10.702,,434595,490,0.014,0.0,1
