angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,[MT91],SpType,RAJ2000,DEJ2000,AV,Vmag,(B-V),DM,PAct,RV,MT91
0.749095,308.0608307024624,41.3758600114174,0.001,0.001,90,2067834342788541056,308.06081596551,0.0177,41.37584000711,0.0197,0.5574,0.0235,-2.568,0.038,-4.646,0.036,0,7.12887e+04,2.58905e+01,13.555815,2.07379e+04,4.56253e+01,14.559477,7.74891e+04,1.11707e+02,12.538817,2.020659,,,0,3709.00,1.6040,0.7963,10.39,18.401,308.0606667,41.3760278,220,B1V,20 32 14.56,+41 22 33.7,5.3,14.34,1.52,12.2,,V,MT91
0.943909,308.0612303249125,41.4610295070898,0.004,0.004,0,2067835785897573120,308.06121814064,0.1124,41.46100431243,0.1269,0.8853,0.1469,-2.121,0.246,-5.852,0.273,0,1.20755e+05,3.67748e+01,12.983604,4.07019e+04,8.80218e+01,13.827353,1.21074e+05,1.30721e+02,12.054295,1.773058,,,0,4136.25,1.7045,0.8950,5.95,9.336,308.0609583,41.4611944,221,B2V,20 32 14.63,+41 27 40.3,4.5,13.62,1.3,11.5,,,MT91
0.390573,308.0626606173130,41.3251170562400,0.001,0.001,90,2067833930471667200,308.06264651417,0.0182,41.32509901872,0.0202,0.5274,0.0248,-2.460,0.039,-4.189,0.036,0,4.48883e+04,1.18979e+01,14.058032,1.34014e+04,2.67316e+01,15.033514,4.80042e+04,5.56375e+01,13.058723,1.974792,,,0,3798.00,1.6163,0.7945,8.06,12.171,308.062625,41.3252222,222,B3V,20 32 15.03,+41 19 30.8,5.0,14.8,1.47,11.7,,,MT91
0.815052,308.0690091515893,41.4265749682416,0.001,0.001,0,2067835614098871040,308.06899582471,0.0208,41.42655467940,0.0265,0.5786,0.0291,-2.321,0.044,-4.712,0.055,0,8.15283e+05,3.16873e+02,10.910094,2.83706e+05,4.88551e+02,11.719218,7.84876e+05,7.08378e+02,10.024917,1.694302,,,0,4150.73,0.7005,0.3483,23.39,146.314,308.068875,41.4267778,227,O9V,20 32 16.53,+41 25 36.4,4.6,11.47,1.24,10.9,,V,MT91
0.817813,308.0818648451652,41.3441372902269,0.001,0.001,0,2067834067910619904,308.08184869550,0.0220,41.34411995769,0.0246,0.5977,0.0290,-2.816,0.047,-4.026,0.051,0,1.57616e+05,2.93039e+01,12.694366,5.45088e+04,7.89503e+01,13.510221,1.54659e+05,1.18284e+02,11.788482,1.721739,,,0,4067.44,1.0375,0.5005,10.63,27.887,308.0819167,41.3443611,234,B2V,20 32 19.66,+41 20 39.7,4.5,13.25,1.28,11.2,,V,MT91
0.042920,308.0889445693317,41.3098551197338,0.001,0.001,0,2067830941174419968,308.08892832048,0.0232,41.30983709414,0.0259,0.5210,0.0303,-2.835,0.052,-4.187,0.055,0,4.23168e+04,1.49706e+01,14.122083,1.10874e+04,2.61605e+01,15.239314,4.83408e+04,1.02032e+02,13.051135,2.188179,,,0,3547.50,2.0173,0.9955,9.93,14.061,308.0889583,41.3098611,238,B1V,20 32 21.35,+41 18 35.5,6.1,14.91,1.8,12.0,,V,MT91
0.440950,308.0906260975535,41.5736186601033,0.001,0.001,90,2067849873390497024,308.09061152779,0.0158,41.57359732876,0.0196,0.5731,0.0240,-2.532,0.036,-4.954,0.035,0,5.46979e+04,1.79171e+01,13.843440,2.09280e+04,4.97687e+01,14.549568,5.05086e+04,8.53775e+01,13.003508,1.546061,,,0,4328.00,,,5.37,9.108,308.0906667,41.5735,239,B4V,20 32 21.76,+41 34 24.6,3.9,14.33,1.14,10.4,,V,MT91
0.507096,308.0921697216733,41.4616904713304,0.001,0.001,0,2067835751537826560,308.09215247317,0.0209,41.46167263817,0.0255,0.5792,0.0302,-3.002,0.045,-4.142,0.048,0,1.37615e+05,2.92234e+01,12.841704,5.10612e+04,9.32484e+01,13.581161,1.28956e+05,9.09230e+01,11.985817,1.595344,,,0,4350.00,,,8.30,22.203,308.0922917,41.4615833,241,B2V,20 32 22.15,+41 27 41.7,4.0,13.41,1.13,11.8,,V,MT91
0.367120,308.1061853113123,41.4144785992099,0.001,0.001,0,2067834682086562048,308.10617149252,0.0195,41.41446081258,0.0232,0.6144,0.0270,-2.407,0.042,-4.131,0.045,0,1.48694e+05,3.26474e+01,12.757628,5.09134e+04,9.49084e+01,13.584308,1.46839e+05,1.55951e+02,11.844819,1.739489,,,0,4201.00,1.3047,0.6597,9.06,23.009,308.10625,41.4143889,248,B2V,20 32 25.50,+41 24 51.8,4.6,13.36,1.31,11.2,,V,MT91
0.417410,308.1086566720013,41.4942592045665,0.001,0.001,90,2067837263366486144,308.10864029252,0.0270,41.49424299285,0.0297,0.5243,0.0403,-2.849,0.058,-3.765,0.054,0,2.12845e+05,1.70967e+02,12.368209,8.39470e+04,2.96551e+02,13.041374,1.91586e+05,5.65836e+02,11.556012,1.485362,,,0,4455.00,0.7797,0.3000,10.62,39.991,308.10875,41.4941667,250,B2III,20 32 26.10,+41 29 39.0,3.8,12.88,1.06,12.8,,V,MT91
0.150654,308.1104398995918,41.3205102486361,0.001,0.001,0,2067830833796676352,308.11042320602,0.0162,41.32048920138,0.0196,0.5262,0.0220,-2.912,0.035,-4.888,0.037,0,9.16203e+04,2.18864e+01,13.283387,2.63508e+04,4.47137e+01,14.299405,9.98986e+04,9.60128e+01,12.263021,2.036384,,,0,3855.78,1.6775,0.8370,10.98,23.996,308.1104167,41.3204722,252,B1.5III,20 32 26.50,+41 19 13.7,4.9,14.15,1.42,13.1,,V,MT91
0.517844,308.1134773278535,41.3657309584987,0.001,0.001,0,2067831525289977856,308.11346367447,0.0179,41.36571390681,0.0223,0.5833,0.0248,-2.380,0.038,-3.960,0.045,0,4.70592e+04,1.06945e+01,14.006754,1.40406e+04,2.71476e+01,14.982923,5.04899e+04,6.55866e+01,13.003908,1.979014,,,0,3836.00,1.7673,0.8745,7.22,10.168,308.1135833,41.3656111,255,B2III,20 32 27.26,+41 21 56.2,4.8,14.71,1.42,13.5,,V,MT91
0.410985,308.1152270075716,41.4394644493474,0.001,0.001,0,2067834926904094848,308.11521383053,0.0201,41.43944651718,0.0275,0.6295,0.0303,-2.294,0.044,-4.165,0.050,0,1.11781e+06,3.34901e+02,10.567449,4.06335e+05,3.95458e+02,11.329176,1.03768e+06,7.37166e+02,9.721762,1.607414,,,0,4307.00,0.8715,0.4815,22.42,155.874,308.1152917,41.4393611,258,O8V,20 32 27.67,+41 26 21.7,4.5,11.1,1.2,10.9,,V,MT91
0.428013,308.1155737529205,41.4811796669602,0.001,0.001,0,2067837263366481536,308.11556032395,0.0233,41.48116235820,0.0276,0.6164,0.0314,-2.337,0.051,-4.020,0.052,0,7.66167e+05,3.20816e+02,10.977557,3.14849e+05,6.08869e+02,11.606133,6.58407e+05,4.58575e+02,10.215684,1.390449,,,0,4462.80,0.4920,0.2223,17.04,103.808,308.1156667,41.4810833,259,B0Ib,20 32 27.76,+41 28 51.9,3.7,11.42,1.0,13.7,,V,MT91
0.239438,308.1308687246894,41.5143337747084,0.001,0.001,90,2067837400805452032,308.13085133919,0.0214,41.51431631301,0.0225,0.6089,0.0283,-3.024,0.049,-4.056,0.043,0,7.38657e+04,1.82541e+01,13.517259,2.07532e+04,5.59136e+01,14.558677,8.12478e+04,9.23714e+01,12.487391,2.071286,,,0,4107.29,1.8430,0.9080,6.92,12.284,308.1309167,41.5142778,268,B2.5V,20 32 31.42,+41 30 51.4,4.9,14.38,1.43,11.7,,V,MT91
0.297959,308.1346661271011,41.3827204587842,0.001,0.001,0,2067831662728930304,308.13465245695,0.0148,41.38270206720,0.0187,0.5688,0.0206,-2.382,0.032,-4.272,0.036,0,5.83625e+04,1.36130e+01,13.773031,1.62778e+04,3.97785e+01,14.822399,6.45737e+04,6.70873e+01,12.736781,2.085618,,,0,3973.75,1.7502,0.8520,7.33,12.081,308.13475,41.3826667,271,B4V,20 32 32.34,+41 22 57.6,5.0,14.57,1.51,9.5,,V,MT91
0.119167,308.1355737142695,41.4463379127019,0.001,0.001,0,2067836232574148864,308.13556045421,0.0180,41.44631969581,0.0204,0.5401,0.0245,-2.309,0.038,-4.231,0.040,0,3.55963e+04,9.64334e+00,14.309854,1.20622e+04,2.30023e+01,15.147819,3.55470e+04,4.71919e+01,13.384913,1.762906,,,0,4068.00,,,5.59,7.709,308.1355833,41.4463056,273,B5:V,20 32 32.54,+41 26 46.7,5.2,14.91,1.57,9.7,,,MT91
0.319269,308.1360732463460,41.4512765949313,0.001,0.001,0,2067836232574322048,308.13606072085,0.0156,41.45125846067,0.0192,0.5841,0.0225,-2.180,0.033,-4.212,0.035,0,1.18506e+05,3.63886e+01,13.004013,4.68294e+04,7.07763e+01,13.675093,1.06182e+05,9.64416e+01,12.196789,1.478304,,,0,4415.25,,,7.30,18.247,308.1361667,41.4512222,275,B2V,20 32 32.68,+41 27 04.4,3.9,13.47,1.1,12.0,,V,MT91
0.160841,308.1542409322303,41.3847733505085,0.001,0.001,0,2067831624070707840,308.15422607155,0.0193,41.38475566505,0.0243,0.5471,0.0267,-2.590,0.041,-4.108,0.047,0,2.24455e+05,4.15682e+01,12.310543,6.38778e+04,1.36708e+02,13.338013,2.44285e+05,2.11724e+02,11.292176,2.045836,,,0,3961.42,1.3867,0.6677,15.11,50.641,308.1542917,41.38475,292,B2V,20 32 37.03,+41 23 05.1,5.2,13.08,1.51,10.4,,V,MT91
0.244853,308.1573329597567,41.4376094706964,0.000,0.000,0,2067836159558192896,308.15731779463,0.0136,41.43759167619,0.0176,0.6615,0.0200,-2.641,0.029,-4.133,0.031,0,9.94639e+04,2.04660e+01,13.194202,3.68060e+04,6.27726e+01,13.936592,9.34398e+04,7.78541e+01,12.335589,1.601003,,,0,4307.75,,,6.36,12.556,308.1574167,41.4375833,295,B2V,20 32 37.78,+41 26 15.3,4.3,13.71,1.21,11.9,,V,MT91
0.125270,308.1597655341171,41.4824216934825,0.001,0.001,90,2067836576171717120,308.15975371640,0.0173,41.48240518919,0.0201,0.5765,0.0240,-2.056,0.038,-3.833,0.037,0,5.73027e+04,1.70719e+01,13.792928,1.99515e+04,4.82049e+01,14.601450,5.61988e+04,6.66258e+01,12.887602,1.713848,,,0,4096.13,,,6.50,10.703,308.15975,41.4823889,298,B3V,20 32 38.34,+41 28 56.6,4.3,14.43,1.25,12.0,,V,MT91
0.212118,308.1607062331648,41.4204933348961,0.001,0.001,0,2067833204620693632,308.16069402794,0.0234,41.42047599744,0.0282,0.6315,0.0346,-2.126,0.052,-4.027,0.052,0,1.43784e+06,7.36248e+02,10.294091,5.18450e+05,5.58421e+02,11.064622,1.33457e+06,1.83594e+03,9.448565,1.616057,,,0,4361.30,0.5485,0.2942,24.40,194.094,308.16075,41.4204444,299,O7V,20 32 38.58,+41 25 13.6,4.4,10.84,1.19,11.0,,V,MT91
0.086947,308.1619266651780,41.4224489395557,0.001,0.001,90,2067833204623425280,308.16191134701,0.0266,41.42243228245,0.0297,0.5336,0.0383,-2.668,0.054,-3.869,0.052,0,1.41831e+05,3.19493e+01,12.808941,5.23642e+04,1.19378e+02,13.553803,1.33782e+05,9.82511e+01,11.945928,1.607875,,,0,4395.75,0.9240,0.4470,8.86,26.395,308.1619583,41.4224444,300,B1V,20 32 38.87,+41 25 20.8,4.3,13.05,1.21,11.9,,V,MT91
0.874054,308.1706560718538,41.2414656483311,0.004,0.003,0,2067782734461462912,308.17064536132,0.0999,41.24145182701,0.1246,1.1751,0.1285,-1.871,0.221,-3.210,0.244,0,5.25062e+06,1.64913e+04,8.887839,3.11260e+05,1.78108e+03,11.618579,8.48097e+06,4.20823e+04,7.440807,4.177772,,,0,3284.75,1.2510,0.8307,,,308.1703333,41.2414722,304,B3Iae,20 32 40.88,+41 14 29.3,10.0,11.46,3.35,7.4,Susp,,MT91
0.148014,308.1787030094521,41.3379100102831,0.001,0.001,0,2067830563217283968,308.17868796266,0.0262,41.33789189611,0.0347,0.5836,0.0351,-2.624,0.059,-4.207,0.066,0,1.01038e+05,2.65146e+01,13.177155,3.08187e+04,5.82917e+01,14.129352,1.06768e+05,1.27518e+02,12.190816,1.938536,,,0,4213.69,1.4135,0.6870,7.78,17.204,308.17875,41.3378889,311,B2V,20 32 42.90,+41 20 16.4,4.8,13.87,1.39,11.5,,V,MT91
0.240439,308.1893730610620,41.4270945728597,0.001,0.001,0,2067833243277076864,308.18935729487,0.0261,41.42707809848,0.0351,0.6437,0.0350,-2.746,0.056,-3.826,0.063,1,1.68224e+06,6.28715e+02,10.123648,5.85193e+05,6.12520e+02,10.933141,1.60051e+06,1.47582e+03,9.251275,1.681866,,,0,4230.71,0.3770,0.1990,28.43,233.317,308.189375,41.4270278,317,O8V,20 32 45.45,+41 25 37.3,4.6,10.68,1.25,10.4,,V,MT91
0.049013,308.1935595097161,41.4062195677810,0.001,0.001,0,2067833037118456576,308.19354533946,0.0153,41.40620261381,0.0195,0.5130,0.0215,-2.468,0.034,-3.938,0.037,0,3.79115e+04,1.14000e+01,14.241438,1.23860e+04,2.32841e+01,15.119064,3.86997e+04,5.82999e+01,13.292649,1.826415,,,0,3914.85,,,6.89,10.041,308.1935417,41.4062222,322,B2.5V,20 32 46.45,+41 24 22.4,4.6,14.91,1.33,12.5,,V,MT91
0.203814,308.1948146013651,41.4377793223397,0.001,0.001,0,2067833277636820608,308.19479932271,0.0155,41.43776156920,0.0204,0.5494,0.0223,-2.660,0.033,-4.123,0.036,0,7.35219e+04,2.00968e+01,13.522324,2.25746e+04,5.25399e+01,14.467336,7.71845e+04,1.12159e+02,12.543095,1.924241,,,0,3881.38,1.3893,0.6970,9.22,17.366,308.19475,41.43775,325,B1.5III,20 32 46.74,+41 26 15.9,4.7,14.3,1.37,13.4,,V,MT91
