angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Name,n_Name,o,RAJ2000,DEJ2000,Bmag,Jmag,Hmag,Ksmag,SpType,r_SpType,Field,st,AV,Teff,VMAG,Mass,Age,SimbadName
0.018332,307.5328235503866,41.3973397746463,0.002,0.002,0,2068008164405551104,307.53280691689,0.0466,41.39732158710,0.0600,0.5377,0.0616,-2.898,0.105,-4.224,0.111,0,1.31017e+05,4.57433e+01,12.895045,2.09766e+04,8.89604e+01,14.547049,1.78574e+05,2.68380e+02,11.632375,2.914674,,,0,4268.42,2.5447,1.2800,9.24,25.535,307.53282083,41.39734444,J20300788+4123504,,,20 30 07.877,+41 23 50.44,15.64,9.397,8.739,8.365,O8V,10,Cygnus OB2,K,7.3,34877,-4.09,21.9,2.2,2MASS J20300788+4123504
0.010724,307.9062729233805,41.2224997565404,0.001,0.001,90,2067826062091598976,307.90625934801,0.0278,41.22248322073,0.0308,0.6834,0.0360,-2.372,0.059,-3.841,0.058,0,3.28326e+06,1.09933e+04,9.397602,8.27101e+05,8.14589e+03,10.557491,3.65527e+06,3.45548e+04,8.354620,2.202871,,,0,3727.00,,,56.60,556.789,307.906275,41.22249722,VI Cyg 3,,,20 31 37.506,+41 13 20.99,11.633,6.498,6.001,5.748,O9:,2,Cygnus OB2,K,5.6,32882,-6.52,53.3,2.8,2MASS J20313749+4113210
0.017133,307.7129771278545,41.3393788244830,0.001,0.001,0,2067842756625081856,307.71296046896,0.0310,41.33936126809,0.0402,0.4823,0.0402,-2.905,0.066,-4.078,0.076,0,1.11242e+05,4.49066e+01,13.072689,1.97033e+04,7.75575e+01,14.615042,1.46171e+05,2.01306e+02,11.849765,2.765277,,,0,4070.90,2.5695,1.2727,11.04,30.155,307.71297917,41.33938333,J20305111+4120218,,,20 30 51.115,+41 20 21.78,15.29,9.794,9.193,8.889,B0V,11,Cygnus OB2,K,6.3,30110,-3.44,15.4,4.5,2MASS J20305112+4120218
0.006926,308.6863191759662,40.8629808913407,0.001,0.001,90,2064757703093913984,308.68630473374,0.0352,40.86296304647,0.0360,0.7001,0.0434,-2.537,0.075,-4.145,0.074,0,1.88351e+06,2.65921e+03,10.000945,3.34084e+05,1.02804e+03,11.541749,2.38911e+06,7.78964e+03,8.816329,2.725420,,,0,3676.93,1.4380,0.6630,43.75,315.245,308.68631667,40.86298056,J20344471+4051465,,,20 34 44.716,+40 51 46.73,13.815,6.683,6.062,5.731,B0Ia,10,Cygnus OB2,K,6.4,25094,-6.48,36.0,4.5,2MASS J20344471+4051465
0.402895,308.6837939488806,40.8663039536190,0.001,0.001,90,2064757698797394688,308.68378006864,0.0287,40.86628727075,0.0293,0.5678,0.0358,-2.438,0.061,-3.875,0.060,0,3.91199e+05,1.93817e+02,11.707370,7.00871e+04,1.76790e+02,13.237293,5.09502e+05,1.06190e+03,10.494055,2.743238,,,0,4039.58,2.0050,1.0240,18.04,78.068,308.68394167,40.86629722,J20344410+4051584,,,20 34 44.146,+40 51 58.67,14.74,8.404,7.796,7.448,O6.5III(f),10,Cygnus OB2,K,6.9,37134,-4.98,31.3,2.8,2MASS J20344410+4051584
0.052988,307.8263723136511,41.3560285666128,0.001,0.001,0,2067840149584105344,307.82635861061,0.0280,41.35601075692,0.0345,0.5979,0.0367,-2.389,0.060,-4.136,0.065,0,3.74349e+05,1.25918e+02,11.755176,7.45066e+04,2.25560e+02,13.170900,4.71619e+05,6.63054e+02,10.577941,2.592959,,,0,3660.00,2.3913,1.1760,23.19,86.934,307.82637083,41.35601389,J20311833+4121216,,o,20 31 18.329,+41 21 21.65,14.13,8.607,8.046,7.746,O9V,11,Cygnus OB2,K,6.3,32882,-4.6,23.0,4.5,2MASS J20311833+4121216
0.034258,307.9391685332487,41.3074198316111,0.002,0.002,90,2067828639068547200,307.93915208187,0.0578,41.30740169399,0.0596,0.4530,0.0729,-2.870,0.131,-4.213,0.113,0,6.51521e+05,9.55123e+02,11.153544,1.43242e+05,6.36522e+02,12.461209,8.19386e+05,3.29040e+03,9.978198,2.483011,,,0,3739.42,,,37.62,249.320,307.93917917,41.307425,J20314540+4118267,,o,20 31 45.403,+41 18 26.73,13.62,8.065,7.552,7.259,O8I,11,Cygnus OB2,K,6.0,33179,-5.04,26.0,4.5,2MASS J20314540+4118267
0.030762,308.1313899688689,41.2356082189515,0.002,0.002,0,2067829596846026880,308.13137643859,0.0449,41.23559355005,0.0573,0.7364,0.0583,-2.363,0.100,-3.407,0.110,0,5.08757e+05,5.75364e+02,11.422091,7.73834e+04,3.28467e+02,13.129769,6.94564e+05,1.57232e+03,10.157640,2.972130,,,0,3737.95,2.2330,1.1345,20.48,73.748,308.13137917,41.23560556,J20323154+4114082,,o,20 32 31.531,+41 14 08.18,14.72,7.817,7.094,6.664,O7.5Ib-II(f),10,Cygnus OB2,K,8.0,34084,-5.86,37.0,3.5,2MASS J20323154+4114082
0.042754,308.0286384589842,41.2991570161938,0.001,0.001,90,2067828020596671104,308.02862500197,0.0292,41.29913909736,0.0329,0.5758,0.0384,-2.348,0.067,-4.162,0.063,1,1.44078e+05,4.22268e+01,12.791874,2.92811e+04,1.03002e+02,14.184920,1.81390e+05,3.44751e+02,11.615386,2.569534,,,0,4078.07,2.2390,1.1260,10.46,27.281,308.02865417,41.29915833,J20320689+4117570,,o,20 32 06.877,+41 17 56.97,15.13,9.624,9.07,8.786,B3V,11,Cygnus OB2,K,5.5,19262,-3.19,8.6,27.5,2MASS J20320689+4117570
0.015631,307.8890699963819,41.3802811490561,0.001,0.001,0,2067840974218090112,307.88905592741,0.0283,41.38026419639,0.0335,0.5740,0.0389,-2.452,0.060,-3.937,0.064,0,1.49968e+05,4.71817e+01,12.748369,3.32822e+04,8.06663e+01,14.045857,1.83276e+05,3.32624e+02,11.604154,2.441704,,,0,3410.00,2.0123,0.9980,19.39,45.824,307.889075,41.38028333,J20313338+4122490,,o,20 31 33.378,+41 22 49.02,14.97,9.744,9.222,8.939,B1V,11,Cygnus OB2,K,5.5,25953,-3.22,12.3,10.0,2MASS J20313337+4122490
0.323280,308.3478963230342,41.1535349698472,0.026,0.024,0,2067778538274037504,308.34785365403,0.7131,41.15349853148,0.7848,0.2783,0.8396,-7.462,1.575,-8.463,1.661,0,9.04918e+05,1.32106e+04,10.796843,2.20722e+05,1.35960e+03,11.991776,1.69515e+06,5.51933e+03,9.188898,2.802877,,,0,3567.14,,,,,308.34779583,41.15358333,J20332346+4109130,,,20 33 23.471,+41 09 12.90,13.5,7.025,6.38,6.05,O5.5V,11,Cygnus OB2,K,7.0,39865,-6.4,68.6,2.0,2MASS J20332346+4109130
0.369676,308.3477017174470,41.1536576494630,0.001,0.001,0,2067778542573330304,308.34770171745,1.1583,41.15365764946,1.3415,,,,,,,0,8.27224e+05,1.78203e+04,10.894308,2.18607e+05,1.27741e+03,12.002226,1.70512e+06,9.43018e+03,9.182535,2.819691,,,0,3900.87,,,,,308.34779583,41.15358333,J20332346+4109130,,,20 33 23.471,+41 09 12.90,13.5,7.025,6.38,6.05,O5.5V,11,Cygnus OB2,K,7.0,39865,-6.4,68.6,2.0,2MASS J20332346+4109130
0.759261,308.2868475284677,41.2214519218769,0.012,0.012,0,2067781909827712384,308.28682103441,0.3225,41.22148794770,0.4282,-0.6093,0.4012,-4.628,0.776,8.367,0.797,0,5.96219e+05,1.13289e+03,11.249851,1.51050e+05,1.46069e+04,12.403590,9.60879e+05,1.08099e+05,9.805248,2.598342,,,0,3522.33,,,,,308.28674167,41.22164722,J20330879+4113179,d,,20 33 08.818,+41 13 17.93,13.29,7.11,6.54,6.225,O4III,11,Cygnus OB2,K,6.4,42422,-6.17,62.3,1.5,2MASS J20330879+4113182
0.971873,308.2865235521951,41.2218616148486,0.002,0.001,0,2067781905528395264,308.28650818427,0.0454,41.22184180672,0.0678,0.6231,0.0667,-2.685,0.095,-4.601,0.107,0,8.80811e+05,9.46840e+02,10.826160,1.93900e+05,6.22996e+03,12.132442,1.29806e+06,3.27933e+04,9.478683,2.653760,,,0,3823.93,,,29.54,168.152,308.28674167,41.22164722,J20330879+4113179,d,,20 33 08.818,+41 13 17.93,13.29,7.11,6.54,6.225,O4III,11,Cygnus OB2,K,6.4,42422,-6.17,62.3,1.5,2MASS J20330879+4113182
0.015977,308.3614821356400,41.1831765661853,0.001,0.001,0,2067780054401820544,308.36146714341,0.0217,41.18315650659,0.0280,0.5483,0.0297,-2.621,0.046,-4.659,0.055,0,3.13325e+05,7.37908e+01,11.948379,6.96646e+04,2.19075e+02,13.243857,3.78041e+05,4.02063e+02,10.818072,2.425785,,,0,3368.00,1.6720,0.7810,30.63,108.770,308.36148333,41.18317222,J20332674+4110595,,,20 33 26.756,+41 10 59.42,14.24,8.971,8.434,8.165,O8.5V,11,Cygnus OB2,K,6.0,33879,-4.14,21.2,3.2,2MASS J20332674+4110595
0.029854,308.3070443415114,41.2182690342180,0.001,0.001,0,2067781871173898624,308.30702899501,0.0215,41.21825013465,0.0365,0.5854,0.0307,-2.681,0.045,-4.390,0.063,0,3.28195e+05,8.99094e+01,11.898035,7.78484e+04,1.92212e+02,13.123263,3.85339e+05,5.26395e+02,10.797312,2.325952,,,0,3782.71,1.6420,0.8030,19.89,73.001,308.30703333,41.21826944,J20331369+4113057,,,20 33 13.688,+41 13 05.77,14.06,9.034,8.559,8.28,O8V,11,Cygnus OB2,K,5.7,34877,-4.0,21.4,2.0,2MASS J20331369+4113057
0.024538,308.2484656178761,41.2540777972854,0.001,0.001,0,2067782936320586240,308.24844986349,0.0266,41.25405902690,0.0389,0.5446,0.0388,-2.751,0.055,-4.360,0.064,0,2.52848e+05,6.88486e+01,12.181216,4.85444e+04,1.70477e+02,13.636042,3.21875e+05,4.53132e+02,10.992703,2.643338,,,0,3964.66,2.3327,1.1630,16.07,57.455,308.24847083,41.25407222,J20325964+4115146,,,20 32 59.633,+41 15 14.66,14.94,9.047,8.451,8.144,B0V,11,Cygnus OB2,K,6.3,30110,-4.19,18.1,6.3,2MASS J20325964+4115146
0.031185,308.3052562219658,41.2246269148049,0.001,0.001,0,2067781939888133248,308.30524045700,0.0349,41.22460658523,0.0436,0.5694,0.0445,-2.754,0.072,-4.722,0.078,0,2.37914e+05,9.15163e+01,12.247316,4.31514e+04,1.56160e+02,13.763902,3.09108e+05,5.61962e+02,11.036643,2.727259,,,0,3874.96,2.1530,1.1202,16.08,52.533,308.30526667,41.22463056,J20331326+4113287,,,20 33 13.264,+41 13 28.67,15.02,8.982,8.346,8.009,O6V,11,Cygnus OB2,K,7.0,38867,-4.43,29.8,1.0,2MASS J20331326+4113287
0.446430,308.3564160311251,41.5573823114886,0.001,0.001,0,2067928110513529216,308.35640430943,0.0339,41.55736709234,0.0417,0.4627,0.0430,-2.037,0.077,-3.535,0.087,0,6.05284e+05,7.26097e+02,11.233468,2.00285e+05,5.39362e+03,12.097268,8.18143e+05,2.38037e+04,9.979848,2.117420,,,0,3955.78,,,29.48,191.699,308.3565375,41.55746667,J20332557+4133269,,,20 33 25.569,+41 33 26.88,12.84,8.168,7.748,7.523,O8.5V,12,Cygnus OB2,K,5.0,33879,-4.68,24.4,3.9,2MASS J20332556+4133269
0.979926,308.3568072474848,41.5576492916257,0.001,0.001,0,2067928110510738432,308.35679257203,0.0318,41.55763288834,0.0375,0.6352,0.0406,-2.551,0.064,-3.810,0.073,0,3.47578e+05,3.18948e+02,11.835735,1.90533e+05,1.86650e+04,12.151461,6.81595e+05,5.44093e+04,10.178104,1.973356,,,0,5000.00,,,8.17,37.565,308.3565375,41.55746667,J20332557+4133269,,,20 33 25.569,+41 33 26.88,12.84,8.168,7.748,7.523,O8.5V,12,Cygnus OB2,K,5.0,33879,-4.68,24.4,3.9,2MASS J20332556+4133269
0.019012,308.2947361473102,41.2522839409620,0.001,0.001,0,2067783623515353728,308.29471873298,0.0220,41.25226387985,0.0335,0.6012,0.0326,-3.041,0.045,-4.659,0.057,0,2.70974e+06,2.59475e+03,9.606046,5.40536e+05,7.59565e+02,11.019327,3.32263e+06,3.81843e+03,8.458216,2.561112,,,0,3893.23,,,50.61,530.223,308.29472917,41.25228333,VI Cyg 9,,,20 33 10.735,+41 15 08.22,12.512,6.468,5.897,5.57,O5If,11,Cygnus OB2,K,6.5,38612,-6.82,83.6,2.0,2MASS J20331074+4115081
0.079571,307.7939420737629,41.5315162294027,0.002,0.002,90,2067846574853004672,307.79392422714,0.0523,41.53149752974,0.0576,0.5487,0.0656,-3.103,0.116,-4.343,0.106,0,1.25358e+06,1.11671e+03,10.442987,3.91077e+05,1.65901e+03,11.370731,1.35422e+06,6.41075e+03,9.432699,1.938032,,,0,3844.25,,,39.33,304.390,307.79392917,41.53153611,VI Cyg 1,,,20 31 10.543,+41 31 53.53,12.486,7.968,7.556,7.365,O9V,2,Cygnus OB2,K,4.8,32882,-4.81,24.5,4.5,2MASS J20311055+4131535
0.017015,308.5181176490773,41.1355346341465,0.001,0.001,0,2067766684167207424,308.51810578082,0.0220,41.13551515889,0.0279,0.5942,0.0301,-2.076,0.046,-4.523,0.057,0,1.67837e+05,5.09161e+01,12.626149,3.92918e+04,7.47213e+01,13.865634,1.99971e+05,2.32429e+02,11.509503,2.356131,,,0,3656.35,2.0085,0.9697,15.68,39.579,308.51812083,41.13553056,J20340435+4108078,,o,20 34 04.349,+41 08 07.91,14.85,9.685,9.163,8.887,B1V,11,Cygnus OB2,K,5.5,25953,-3.26,12.5,10.0,2MASS J20340435+4108078
0.015259,308.5250652210799,41.1358690934967,0.001,0.001,0,2067766787246422400,308.52505459863,0.0314,41.13584984126,0.0380,0.4692,0.0423,-1.858,0.066,-4.471,0.075,0,2.51606e+05,2.88871e+02,12.186562,4.91836e+04,3.43721e+02,13.621839,3.18065e+05,1.02662e+03,11.005631,2.616208,,,0,3684.85,2.1435,1.1003,23.69,93.234,308.52507083,41.13586944,J20340601+4108090,,o,20 34 06.017,+41 08 09.13,14.84,9.047,8.494,8.154,O9.5V,11,Cygnus OB2,K,6.5,31884,-4.2,19.6,4.9,2MASS J20340601+4108090
