angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,SpType,Schulte,[MT91],ONames,AV,logL,logT,l_M1,M1,Age1,Umag,Bmag,Vmag,Jmag,Hmag,Kmag,SimbadName
0.172229,308.3228394389757,41.2859285833531,0.001,0.001,0,2067783799613328128,308.32282809174,0.0296,41.28591213825,0.0392,0.5413,0.0408,-1.980,0.062,-3.820,0.071,0,7.55194e+05,5.00286e+02,10.993220,2.02010e+05,3.88252e+02,12.087955,8.31974e+05,9.68270e+02,9.961646,2.126308,,,0,3989.33,0.9075,0.4450,27.36,170.783,308.322875,41.2858889,20 33 17.49,+41 17 09.2,O7.5V,24,480,,5.63,5.02,4.55,,25.4,3.4,13.85,13.47,11.88,8.354,7.889,7.649,Schulte 24
0.173685,308.3614821356400,41.1831765661853,0.001,0.001,0,2067780054401820544,308.36146714341,0.0217,41.18315650659,0.0280,0.5483,0.0297,-2.621,0.046,-4.659,0.055,0,3.13325e+05,7.37908e+01,11.948379,6.96646e+04,2.19075e+02,13.243857,3.78041e+05,4.02063e+02,10.818072,2.425785,,,0,3368.00,1.6720,0.7810,30.63,108.770,308.3615417,41.1831944,20 33 26.77,+41 10 59.5,O7.5V,,534,,6.36,4.84,4.55,,23.4,1.77,15.48,14.87,13.0,8.971,8.434,8.165,[MT91] 534
0.423637,308.1313899688689,41.2356082189515,0.002,0.002,0,2067829596846026880,308.13137643859,0.0449,41.23559355005,0.0573,0.7364,0.0583,-2.363,0.100,-3.407,0.110,0,5.08757e+05,5.75364e+02,11.422091,7.73834e+04,3.28467e+02,13.129769,6.94564e+05,1.57232e+03,10.157640,2.972130,,,0,3737.95,2.2330,1.1345,20.48,73.748,308.13125,41.2355556,20 32 31.50,+41 14 08.0,O7.5III,,267,,8.03,5.51,4.56,,34.7,5.17,16.48,15.38,,7.82,7.08,6.637,[MT91] 267
0.531227,307.7939420737629,41.5315162294027,0.002,0.002,90,2067846574853004672,307.79392422714,0.0523,41.53149752974,0.0576,0.5487,0.0656,-3.103,0.116,-4.343,0.106,0,1.25358e+06,1.11671e+03,10.442987,3.91077e+05,1.65901e+03,11.370731,1.35422e+06,6.41075e+03,9.432699,1.938032,,,0,3844.25,,,39.33,304.390,307.7940417,41.5313889,20 31 10.57,+41 31 53.0,O8V,1,59,,5.18,5.08,4.54,,25.5,4.46,12.96,12.65,11.18,7.968,7.556,7.365,Schulte 1
0.410985,308.1152270075716,41.4394644493474,0.001,0.001,0,2067834926904094848,308.11521383053,0.0201,41.43944651718,0.0275,0.6295,0.0303,-2.294,0.044,-4.165,0.050,0,1.11781e+06,3.34901e+02,10.567449,4.06335e+05,3.95458e+02,11.329176,1.03768e+06,7.37166e+02,9.721762,1.607414,,,0,4307.00,0.8715,0.4815,22.42,155.874,308.1152917,41.4393611,20 32 27.67,+41 26 21.7,O8V,15,258,,4.36,4.79,4.54,,21.9,2.45,12.39,12.3,11.1,8.535,8.193,8.021,Schulte 15
0.212118,308.1607062331648,41.4204933348961,0.001,0.001,0,2067833204620693632,308.16069402794,0.0234,41.42047599744,0.0282,0.6315,0.0346,-2.126,0.052,-4.027,0.052,0,1.43784e+06,7.36248e+02,10.294091,5.18450e+05,5.58421e+02,11.064622,1.33457e+06,1.83594e+03,9.448565,1.616057,,,0,4361.30,0.5485,0.2942,24.40,194.094,308.16075,41.4204444,20 32 38.58,+41 25 13.6,O8V,16,299,,4.4,4.92,4.54,,23.4,3.65,12.07,12.03,10.84,8.23,7.92,7.699,Schulte 16
0.240439,308.1893730610620,41.4270945728597,0.001,0.001,0,2067833243277076864,308.18935729487,0.0261,41.42707809848,0.0351,0.6437,0.0350,-2.746,0.056,-3.826,0.063,1,1.68224e+06,6.28715e+02,10.123648,5.85193e+05,6.12520e+02,10.933141,1.60051e+06,1.47582e+03,9.251275,1.681866,,,0,4230.71,0.3770,0.1990,28.43,233.317,308.189375,41.4270278,20 32 45.45,+41 25 37.3,O8V,6,317,,4.54,5.04,4.54,,24.8,4.28,12.02,11.93,10.68,7.953,7.617,7.421,Schulte 6
0.225597,308.2465723753237,41.4070806104873,0.001,0.001,90,2067832624801783040,308.24655649280,0.0302,41.40706147012,0.0346,0.5862,0.0364,-2.767,0.065,-4.446,0.063,0,6.03347e+05,3.74403e+02,11.236948,1.94553e+05,3.60844e+02,12.128792,6.07153e+05,5.84395e+02,10.303675,1.825117,,,0,3904.75,1.1440,0.5473,24.25,123.202,308.2465417,41.4071389,20 32 59.17,+41 24 25.7,O8V,,376,,4.9,4.69,4.54,,20.9,1.04,13.47,13.26,11.91,8.886,8.524,8.314,[MT91] 376
0.333172,308.2621385236515,41.2953217256481,0.001,0.001,0,2067784516868550016,308.26212278289,0.0291,41.29530272674,0.0408,0.6066,0.0408,-2.747,0.064,-4.413,0.069,0,3.69619e+05,1.69281e+02,11.768980,7.65352e+04,2.33995e+02,13.141735,4.55494e+05,6.69815e+02,10.615714,2.526021,,,0,3516.00,2.0220,0.9850,25.96,92.809,308.26225,41.2953611,20 33 02.94,+41 17 43.3,O8V,,390,,6.63,4.93,4.54,,23.5,3.7,15.67,14.93,12.95,8.718,8.165,7.873,[MT91] 390
0.242862,308.3070443415114,41.2182690342180,0.001,0.001,0,2067781871173898624,308.30702899501,0.0215,41.21825013465,0.0365,0.5854,0.0307,-2.681,0.045,-4.390,0.063,0,3.28195e+05,8.99094e+01,11.898035,7.78484e+04,1.92212e+02,13.123263,3.85339e+05,5.26395e+02,10.797312,2.325952,,,0,3782.71,1.6420,0.8030,19.89,73.001,308.3069583,41.21825,20 33 13.67,+41 13 05.7,O8V,,455,,6.13,4.75,4.54,,21.4,1.89,15.27,14.73,12.92,9.034,8.559,8.28,[MT91] 455
