angDist,ra_epoch2000,dec_epoch2000,errHalfMaj,errHalfMin,errPosAng,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,duplicated_source,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,rv_nb_transits,teff_val,a_g_val,e_bp_min_rp_val,radius_val,lum_val,_RAJ2000,_DEJ2000,Sample,Name,SpType,Teff,LogL,AV,_RA,_DE
0.059369,306.5823324604484,39.8617891212957,0.001,0.001,0,2067284209018145024,306.58232282998,0.0264,39.86176996484,0.0343,0.5124,0.0350,-1.717,0.061,-4.449,0.068,0,1.69265e+05,4.42602e+01,12.616947,2.85520e+04,1.02593e+02,14.212296,2.23644e+05,2.79038e+02,11.388027,2.824268,,,0,3897.98,2.2920,1.1393,14.78,45.450,306.5823333,39.8618056,Surroundings,J20261976+3951425,O8.5IV,33391,4.81,8.0,306.58233,39.86181
0.520118,306.6036879892454,40.0281265554457,0.001,0.001,0,2067287576272381568,306.60367061186,0.0214,40.02810781207,0.0268,0.5639,0.0273,-3.091,0.043,-4.353,0.049,0,4.00451e+05,1.49419e+02,11.681992,1.08202e+05,2.24446e+02,12.765798,4.45300e+05,5.61996e+02,10.640287,2.125510,,,0,3650.00,1.3980,0.6700,25.66,105.320,306.6035,40.0281389,Surroundings,J20262484+4001413,O9.2III,31317,4.65,5.9,306.6035,40.02814
0.102923,309.5905123581857,41.9518982287773,0.002,0.002,90,2066409306996910208,309.59049282357,0.0584,41.95188557986,0.0541,0.6684,0.0673,-3.374,0.124,-2.938,0.106,0,1.97959e+05,7.50977e+01,12.446930,2.67732e+04,1.33698e+02,14.282137,2.81351e+05,8.50686e+02,11.138801,3.143336,,,0,3770.21,2.7000,1.3780,13.68,34.068,309.5905417,41.9519167,Surroundings,J20382173+4157069,O9.7II,30859,4.99,8.5,309.59054,41.95192
0.010818,304.5454129915449,40.4850822631914,0.001,0.001,90,2062336234901522688,304.54539499861,0.0271,40.48506056364,0.0312,0.3877,0.0348,-3.178,0.059,-5.040,0.057,0,1.69527e+05,9.24069e+01,12.615269,3.24461e+04,1.34478e+02,14.073483,2.18236e+05,4.49190e+02,11.414603,2.658879,,,0,3408.86,1.9670,0.9790,30.57,113.666,304.5454167,40.4850833,Surroundings,J20181090+4029063,O9.7Ib,28644,4.58,7.6,304.54542,40.48508
0.050790,309.9732643981338,42.3807129304123,0.008,0.007,0,2066444761951095808,309.97325210805,0.2075,42.38071324305,0.2665,1.5373,0.2463,-2.109,0.451,0.073,0.533,0,4.53991e+05,9.41498e+02,11.545749,4.26188e+04,3.33952e+02,13.777387,7.05201e+05,4.13560e+03,10.141137,3.636250,,,0,3490.07,,,11.64,18.114,309.97325,42.3807222,Surroundings,J20395358+4222506,B0I,25094,5.57,11.0,309.97325,42.38072
0.035980,307.0489876409084,38.6729748045204,0.001,0.001,0,2064140219938660608,307.04897525417,0.0183,38.67295068842,0.0238,0.5595,0.0252,-2.246,0.040,-5.601,0.051,0,1.47805e+06,1.49357e+03,10.264145,5.45884e+05,1.53658e+03,11.008638,1.34569e+06,3.79268e+03,9.439559,1.569079,,,0,4483.00,0.4068,0.2032,25.74,241.014,307.049,38.6729722,Surroundings,J20281176+3840227,B0Ib,25094,4.43,3.6,307.049,38.67297
0.038916,307.2602915410801,42.5210724907411,0.001,0.001,0,2068226834079593728,307.26026665603,0.0237,42.52105546193,0.0289,0.4632,0.0275,-4.260,0.047,-3.955,0.054,0,4.03257e+05,2.92024e+02,11.674410,1.08359e+05,4.81960e+02,12.764223,4.51457e+05,1.24838e+03,10.625379,2.138845,,,0,3935.57,,,24.44,129.146,307.2602917,42.5210833,Surroundings,J20290247+4231159,B1Ib,19979,4.03,5.0,307.26029,42.52108
0.174102,305.7270784611392,40.3920885012441,0.001,0.001,90,2067544754614184448,305.72706607813,0.0222,40.39206867426,0.0226,0.5788,0.0274,-2.190,0.046,-4.605,0.041,0,4.35131e+05,1.21993e+02,11.591816,1.26434e+05,2.94933e+02,12.596729,4.62778e+05,3.73785e+02,10.598489,1.998241,,,0,3726.00,1.3702,0.6715,24.35,102.967,305.727125,40.3920556,Surroundings,J20225451+4023314,B0Iab,25094,4.21,4.7,305.72712,40.39206
0.040712,306.3883219803996,40.8123406819913,0.023,0.023,0,2067600799643251072,306.38830840055,0.6944,40.81231691632,0.7812,2.6959,0.8175,-2.387,1.459,-5.520,1.461,1,8.10813e+05,5.42894e+02,10.916063,2.11910e+05,4.15490e+02,12.036011,9.03464e+05,1.10845e+03,9.872144,2.163867,,,0,4210.27,2.0060,1.0390,,,306.3883333,40.8123333,Surroundings,J20253320+4048444,B0Iab,25094,4.62,5.5,306.38833,40.81233
0.190635,306.1063188547577,39.8245305789391,0.001,0.001,0,2067445940307411328,306.10630622291,0.0246,39.82451511879,0.0344,0.7433,0.0358,-2.253,0.052,-3.591,0.056,0,2.52374e+06,1.37053e+03,9.683256,1.45152e+06,1.36118e+03,9.946834,1.57899e+06,1.30496e+03,9.265973,0.680861,,,0,6377.50,,,10.89,176.859,306.10625,39.8245278,Surroundings,HDE229258,B0.7V,24949,4.13,1.8,306.10625,39.82453
